vlookup server,vlookup sw,Index,Facility,Card,Cable Length,Dell P/N,Cable Type,Cable Color,Server Transceiver,Switch Transceiver,Row,Rack,Node,Sled,Interface,Row,Rack,Switch,Port,Label,TSS Top,TSS Bottom,,,U Height,Device Position,Sled number,CMSH Switchport config commands - server hostname column must be populated,"CMSH rackview config commands - Server Hostname, U height and Device Position columns must be populated"
1OU01,1OU03,1,Franklin,Slot 3 OCP - port 1,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU01,,25Gb1,B5,1,OU03,1,"B5 R1 OU01 Slot 3 OCP - port 1
B5 R1 SW OU03 P1",B5 R1 OU01 Slot 3 OCP - port 1,B5 R1 SW OU03 P1,,,2,#REF!,#REF!,#REF!,#REF!
1OU02,1OU03,2,Franklin,Slot 3 OCP - port 1,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU02,,25Gb1,B5,1,OU03,2,"B5 R1 OU02 Slot 3 OCP - port 1
B5 R1 SW OU03 P2",B5 R1 OU02 Slot 3 OCP - port 1,B5 R1 SW OU03 P2,,,,,,,
1OU04,1OU03,3,Franklin,Slot 3 OCP - port 1,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU04,,25Gb1,B5,1,OU03,3,"B5 R1 OU04 Slot 3 OCP - port 1
B5 R1 SW OU03 P3",B5 R1 OU04 Slot 3 OCP - port 1,B5 R1 SW OU03 P3,,,,,,,
1OU05,1OU03,4,Franklin,Slot 3 OCP - port 1,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU05,,25Gb1,B5,1,OU03,4,"B5 R1 OU05 Slot 3 OCP - port 1
B5 R1 SW OU03 P4",B5 R1 OU05 Slot 3 OCP - port 1,B5 R1 SW OU03 P4,,,,,,,
1OU06,1OU03,5,Franklin,Slot 3 OCP - port 1,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU06,,25Gb1,B5,1,OU03,5,"B5 R1 OU06 Slot 3 OCP - port 1
B5 R1 SW OU03 P5",B5 R1 OU06 Slot 3 OCP - port 1,B5 R1 SW OU03 P5,,,,,,,
1OU07,1OU03,6,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU07,,25Gb1,B5,1,OU03,6,"B5 R1 OU07 Slot 3 OCP - port 1
B5 R1 SW OU03 P6",B5 R1 OU07 Slot 3 OCP - port 1,B5 R1 SW OU03 P6,,,,,,,
1OU11,1OU03,7,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU11,,25Gb1,B5,1,OU03,7,"B5 R1 OU11 Slot 3 OCP - port 1
B5 R1 SW OU03 P7",B5 R1 OU11 Slot 3 OCP - port 1,B5 R1 SW OU03 P7,,,,,,,
1OU12,1OU03,8,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU12,,25Gb1,B5,1,OU03,8,"B5 R1 OU12 Slot 3 OCP - port 1
B5 R1 SW OU03 P8",B5 R1 OU12 Slot 3 OCP - port 1,B5 R1 SW OU03 P8,,,,,,,
1OU13,1OU03,9,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU13,,25Gb1,B5,1,OU03,9,"B5 R1 OU13 Slot 3 OCP - port 1
B5 R1 SW OU03 P9",B5 R1 OU13 Slot 3 OCP - port 1,B5 R1 SW OU03 P9,,,,,,,
1OU14,1OU03,10,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU14,,25Gb1,B5,1,OU03,10,"B5 R1 OU14 Slot 3 OCP - port 1
B5 R1 SW OU03 P10",B5 R1 OU14 Slot 3 OCP - port 1,B5 R1 SW OU03 P10,,,,,,,
1OU15,1OU03,11,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU15,,25Gb1,B5,1,OU03,11,"B5 R1 OU15 Slot 3 OCP - port 1
B5 R1 SW OU03 P11",B5 R1 OU15 Slot 3 OCP - port 1,B5 R1 SW OU03 P11,,,,,,,
1OU16,1OU03,12,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU16,,25Gb1,B5,1,OU03,12,"B5 R1 OU16 Slot 3 OCP - port 1
B5 R1 SW OU03 P12",B5 R1 OU16 Slot 3 OCP - port 1,B5 R1 SW OU03 P12,,,,,,,
1OU17,1OU03,13,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU17,,25Gb1,B5,1,OU03,13,"B5 R1 OU17 Slot 3 OCP - port 1
B5 R1 SW OU03 P13",B5 R1 OU17 Slot 3 OCP - port 1,B5 R1 SW OU03 P13,,,,,,,
1OU18,1OU03,14,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU18,,25Gb1,B5,1,OU03,14,"B5 R1 OU18 Slot 3 OCP - port 1
B5 R1 SW OU03 P14",B5 R1 OU18 Slot 3 OCP - port 1,B5 R1 SW OU03 P14,,,,,,,
1OU19,1OU03,15,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU19,,25Gb1,B5,1,OU03,15,"B5 R1 OU19 Slot 3 OCP - port 1
B5 R1 SW OU03 P15",B5 R1 OU19 Slot 3 OCP - port 1,B5 R1 SW OU03 P15,,,,,,,
1OU20,1OU03,16,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU20,,25Gb1,B5,1,OU03,16,"B5 R1 OU20 Slot 3 OCP - port 1
B5 R1 SW OU03 P16",B5 R1 OU20 Slot 3 OCP - port 1,B5 R1 SW OU03 P16,,,,,,,
1OU21,1OU03,17,Franklin,Slot 3 OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU21,,25Gb1,B5,1,OU03,17,"B5 R1 OU21 Slot 3 OCP - port 1
B5 R1 SW OU03 P17",B5 R1 OU21 Slot 3 OCP - port 1,B5 R1 SW OU03 P17,,,,,,,
1OU27,1OU03,18,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU27,,25Gb1,B5,1,OU03,18,"B5 R1 OU27 Slot 3 OCP - port 1
B5 R1 SW OU03 P18",B5 R1 OU27 Slot 3 OCP - port 1,B5 R1 SW OU03 P18,,,,,,,
1OU28,1OU03,19,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU28,,25Gb1,B5,1,OU03,19,"B5 R1 OU28 Slot 3 OCP - port 1
B5 R1 SW OU03 P19",B5 R1 OU28 Slot 3 OCP - port 1,B5 R1 SW OU03 P19,,,,,,,
1OU29,1OU03,20,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU29,,25Gb1,B5,1,OU03,20,"B5 R1 OU29 Slot 3 OCP - port 1
B5 R1 SW OU03 P20",B5 R1 OU29 Slot 3 OCP - port 1,B5 R1 SW OU03 P20,,,,,,,
1OU30,1OU03,21,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU30,,25Gb1,B5,1,OU03,21,"B5 R1 OU30 Slot 3 OCP - port 1
B5 R1 SW OU03 P21",B5 R1 OU30 Slot 3 OCP - port 1,B5 R1 SW OU03 P21,,,,,,,
1OU31,1OU03,22,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU31,,25Gb1,B5,1,OU03,22,"B5 R1 OU31 Slot 3 OCP - port 1
B5 R1 SW OU03 P22",B5 R1 OU31 Slot 3 OCP - port 1,B5 R1 SW OU03 P22,,,,,,,
1OU32,1OU03,23,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU32,,25Gb1,B5,1,OU03,23,"B5 R1 OU32 Slot 3 OCP - port 1
B5 R1 SW OU03 P23",B5 R1 OU32 Slot 3 OCP - port 1,B5 R1 SW OU03 P23,,,,,,,
1OU33,1OU03,24,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU33,,25Gb1,B5,1,OU03,24,"B5 R1 OU33 Slot 3 OCP - port 1
B5 R1 SW OU03 P24",B5 R1 OU33 Slot 3 OCP - port 1,B5 R1 SW OU03 P24,,,,,,,
1OU34,1OU03,25,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU34,,25Gb1,B5,1,OU03,25,"B5 R1 OU34 Slot 3 OCP - port 1
B5 R1 SW OU03 P25",B5 R1 OU34 Slot 3 OCP - port 1,B5 R1 SW OU03 P25,,,,,,,
1OU35,1OU03,26,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU35,,25Gb1,B5,1,OU03,26,"B5 R1 OU35 Slot 3 OCP - port 1
B5 R1 SW OU03 P26",B5 R1 OU35 Slot 3 OCP - port 1,B5 R1 SW OU03 P26,,,,,,,
1OU36,1OU03,27,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU36,,25Gb1,B5,1,OU03,27,"B5 R1 OU36 Slot 3 OCP - port 1
B5 R1 SW OU03 P27",B5 R1 OU36 Slot 3 OCP - port 1,B5 R1 SW OU03 P27,,,,,,,
1OU37,1OU03,28,Franklin,Slot 3 OCP - port 1,2.5M,470-AENF,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU37,,25Gb1,B5,1,OU03,28,"B5 R1 OU37 Slot 3 OCP - port 1
B5 R1 SW OU03 P28",B5 R1 OU37 Slot 3 OCP - port 1,B5 R1 SW OU03 P28,,,,,,,
1OU41,1OU03,29,Franklin,Slot 3 OCP - port 1,3M,470-ACEU,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU41,,25Gb1,B5,1,OU03,29,"B5 R1 OU41 Slot 3 OCP - port 1
B5 R1 SW OU03 P29",B5 R1 OU41 Slot 3 OCP - port 1,B5 R1 SW OU03 P29,,,,,,,
1OU42,1OU03,30,Franklin,Slot 3 OCP - port 1,3M,470-ACEU,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU42,,25Gb1,B5,1,OU03,30,"B5 R1 OU42 Slot 3 OCP - port 1
B5 R1 SW OU03 P30",B5 R1 OU42 Slot 3 OCP - port 1,B5 R1 SW OU03 P30,,,,,,,
1OU43,1OU03,31,Franklin,Slot 3 OCP - port 1,3M,470-ACEU,SFP28 TwinAx,Black,N/A,N/A,B5,1,OU43,,25Gb1,B5,1,OU03,31,"B5 R1 OU43 Slot 3 OCP - port 1
B5 R1 SW OU03 P31",B5 R1 OU43 Slot 3 OCP - port 1,B5 R1 SW OU03 P31,,,,,,,
