rack1,,,,,,Cable Lengths,,,,,,,,,,
,Front Mounted,Rear Mounted,Order Number,PS 1 ,PS 2,Card Installs,IB Route,IB Length,CAT6 Route,CAT6 Length,25GbE SFP28 Route,25GbE SFP28 Length,100GbE MPO Route,100GbE MPO Length,QSFP112 Route,QSFP112 Length
OU52,,,,,,,,,,,,,,,,
OU51,,,,,,,,,,,,,,,,
OU50,blank,,,,,,,,,,,,,,,
OU49,blank,,,,,,,,,,,,,,,
OU48,XE8712 COMPUTE,,,,,,"(1) NDR 2:1 to OU26
(1) NDR 2:1 to OU25",(2) 2.5M,,,(1) SFP28 to OU03,(1) 3M,,,,
OU47,XE8712 COMPUTE,,,,,,,,,,(1) SFP28 to OU03,(1) 3M,,,,
OU46,XE8712 COMPUTE,,,,,,"(1) NDR 2:1 to OU26
(1) NDR 2:1 to OU25",(2) 2M,,,(1) SFP28 to OU03,(1) 3M,,,,
OU45,XE8712 COMPUTE,,,,,,,,,,(1) SFP28 to OU03,(1) 3M,,,,
OU44,XE8712 COMPUTE,,,,,,"(1) NDR 2:1 to OU26
(1) NDR 2:1 to OU25",(2) 2M,,,(1) SFP28 to OU03,(1) 3M,,,,
OU43,XE8712 COMPUTE,,,,,,,,,,(1) SFP28 to OU03,(1) 3M,,,,
OU42,XE8712 + BF3 DPU,,1026350504,,,,"(1) NDR 2:1 to OU26
(1) NDR 2:1 to OU25",(2) 2M,(1) DPU CAT6 to R2 U24,(1) 20ft,(1) SFP28 to OU03,(1) 3M,,,"(1) DPU to R2 U39, (1) R3 U39",(2) 7M
OU41,XE8712 + BF3 DPU,,1026350504,,,,,,(1) DPU CAT6 to R2 U24,(1) 20ft,(1) SFP28 to OU03,(1) 3M,,,"(1) DPU to R2 U39, (1) R3 U39",(2) 7M
OU40,Power Shelf 8,,,,,,,,(1) CAT6 to OU39,(1) 1ft,,,,,,
OU39,Power Shelf 7,,,,,,,,(1) CAT6 to OU38,(1) 1ft,,,,,,
OU38,Power Shelf 6,,,,,,,,(1) CAT6 to OU23,(1) 3ft,,,,,,
