rack3,,,,,,Cable Lengths,,,,,,,,,,,,
,Front Mounted,Rear Mounted,Order Number,PS 1 ,PS 2,Card Installs/notes,IB Route,IB Length,CAT6 Route,CAT6 Length,25GbE SFP28 Route,25GbE SFP28 Length,100GbE MPO Route,100GbE MPO Length,QSFP112 Route,QSFP112 Length,QSS BE Route,QSS BE Length
U52,,,,,,,,,,,,,,,,,,
U51,,,,,,,,,,,,,,,,,,
U50,,,,,,,,,,,,,,,,,,
U49,,,,,,,,,,,,,,,,,,
U48,blank,,,,,,,,,,,,,,,,,
U47,blank,,,,,,,,,,,,,,,,,
U46,blank,,,,,,,,,,,,,,,,,
U45,Geist SwitchAir duct,S5232F BRDR leaf,NERSC provided,C13 - Bank 5,C13 - Bank 6,,,,,,,,,,,,,
U44,blank,,,,,,,,,,,,,,,,,
U43,,QM9700 spine,,C15 - Bank 6,C15 - Bank 6,(20) MMA4Z00-NS,,,(1) CAT6 to R2 U24,(1) 14ft,,,,,,,,
U42,Geist SwitchAir duct,S5232F - spine,,C13 - Bank 6,C13 - Bank 6,(7) 407-BBWV transceiver,,,(1) CAT6 to R2 U24,(1) 20ft,,,,,,,,
U41,blank,,,,,,,,,,,,,,,,,
U40,SN5600 gateway,,,C19 - Bank 6,C19 - Bank 6,ports face forward,,,(1) CAT6 to R2 U24,(1) 20ft,(1) SFP28 to U22,(1) 3M,,,,,,
U39,,,,,,,,,,,,,,,,,,
U38,blank,,,,,,,,,,,,,,,,,
U37,HDR Skyway GW,,NERSC provided,C13 - Bank 6,C13 - Bank 6,407-BBOS - use transceiver in U22,"(4) EDR to R3 U26
(4) EDR to R2 U26","(4) 3M
(4) 5M","(1) CAT6 to R2 U24 - LAN1
(1) CAT6 to U22 - LAN4","(1) 15ft
(1) 5ft",,,"(4) to R3 U39 200GbE
(4) to R2 U39 200GbE","(4) 10M
(4) 3M",,,,
U36,,,,,,,,,,,,,,,,,,
U35,R7715 WEN DPU,,1025639378,C13 - Bank 5,C13 - Bank 5,,(1) NDR 2:1 to U26,(1) 1.5M,(1) DPU CAT6 to R2 U24,(1) 15ft,(1) SFP28 to U22,(1) 2M,,,"(1) DPU to R2 U39
(1) DPU to R3 U39","(1) 5M
(1) 5M",,
U34,,,,,,,,,,,,,,,,,,
U33,R6715 OMNIA SFM,,1024553476,C13 - Bank 5,C13 - Bank 5,,(1) NDR 2:1 to U26,(1) 1.5M,,,(1) SFP28 to U22,(1) 2M,,,,,,
U32,R6715 OMNIA UFM,,1024553476,C13 - Bank 5,C13 - Bank 5,,,,,,(1) SFP28 to U22,(1) 2M,,,,,,
U31,R6715 OMNIA OME,,1024553477,C13 - Bank 5,C13 - Bank 5,,(1) NDR 2:1 to U26,(1) 1.5M,,,(1) SFP28 to U22,(1) 2M,,,,,,
U30,R6715 OMNIA Scheduler,,1024553569,C13 - Bank 4,C13 - Bank 4,,,,,,(1) SFP28 to U22,(1) 2M,,,,,,
U29,R6715 OMNIA SS,,1024553476,C13 - Bank 4,C13 - Bank 4,,(1) NDR 2:1 to U26,(1) 1.5M,,,(1) SFP28 to U22,(1) 2M,,,,,,
U28,R6715 OMNIA IM,,1024553476,C13 - Bank 4,C13 - Bank 4,,,,,,(1) SFP28 to U22,(1) 2M,,,,,,
U27,blank,,,,,,,,,,,,,,,,,
U26,,QM9700 leaf,,C15 - Bank 4,C15 - Bank 4,(10) MMA4Z00-NS,"(10) NDR to R2 U43, (10) to R3 U43","(10) 5M, (10) 3M",(1) CAT6 to R2 U24,(1) 20ft,,,,,,,,
U25,blank,,,,,,,,,,,,,,,,,
U24,blank,,,,,,,,,,,,,,,,,
U23,blank,,,,,,,,,,,,,,,,,
U22,Geist SwitchAir duct,S5248F 25G Admin,,C13 - Bank 4,C13 - Bank 4,(2) 407-BBWV transceiver,,,(1) CAT6 to R2 U24,(1) 25ft,,,"(1) R2 U42, (1) R3 U42","(1) 5M, (1) 3M",,,,
U21,blank,,,,,,,,,,,,,,,,,
U20,blank,,,,,,,,,,,,,,,,,
U19,blank,,,,,,,,,,,,,,,,,
U18,blank,,,,,,,,,,,,,,,,,
U17,blank,,,,,,,,,,,,,,,,,
U16,Geist SwitchAir duct,SN3700 Vast QSS BE,,C13 - Bank 3,C13 - Bank 3,,,,(1) CAT6 to R2 U24,(1) 20ft,,,,,,,,
U15,Geist SwitchAir duct,SN3700 Vast QSS BE,,C13 - Bank 3,C13 - Bank 3,,,,(1) CAT6 to R2 U24,(1) 20ft,,,,,,,,
U14,blank,,,,,,,,,,,,,,,,,
U13,R6615 Vast QSS,,1026317895,C13 -Bank 3,C13 - Bank 3,407-BBOS - use transceiver in U22,"(1) NDR200 2:1 to U26, (1) to R2 U26","(1) 3M, (1) 7M",(1) CAT6 to U22,(1) 4ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1M
U12,R6615 Vast QSS,,1026317895,C13 - Bank 3,C13 - Bank 3,407-BBOS - use transceiver in U22,"(1) NDR200 2:1 to U26
(1) NDR200 2:1 to R2 U26","(1) 3M, (1) 7M",(1) CAT6 to U22,(1) 4ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1M
U11,R6615 Vast QSS,,1026317895,C13 - Bank 3,C13 -Bank 3,407-BBOS - use transceiver in U22,,,(1) CAT6 to U22,(1) 4ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1M
U10,R6615 Vast QSS,,1026317895,C13 - Bank 2,C13 - Bank 3,407-BBOS - use transceiver in U22,"(1) NDR200 2:1 to U26
(1) NDR200 2:1 to R2 U26","(1) 3M, (1) 7M",(1) CAT6 to U22,(1) 4ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1M
U9,R6615 Vast QSS,,1026317895,C13 - Bank 2,C13 - Bank 2,407-BBOS - use transceiver in U22,,,(1) CAT6 to U22,(1) 5ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1M
U8,R6615 Vast QSS,,1026317895,C13 -Bank 2,C13 - Bank 2,407-BBOS - use transceiver in U22,"(1) NDR200 2:1 to U26
(1) NDR200 2:1 to R2 U26","(1) 3M, (1) 7M",(1) CAT6 to U22,(1) 5ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1M
U7,R6615 Vast QSS,,1026317895,C13 - Bank 1,C13 - Bank 2,407-BBOS - use transceiver in U22,,,(1) CAT6 to U22,(1) 5ft,,,,,,,"(1) to U15, (1) to U16 passive HDR","(1) 1M, (1) 1.5M"
U6,R6615 Vast QSS,,1026317895,C13 - Bank 1,C13 - Bank 1,407-BBOS - use transceiver in U22,"(1) NDR200 2:1 to U26
(1) NDR200 2:1 to R2 U26","(1) 3M, (1) 7M",(1) CAT6 to U22,(1) 6ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1.5M
U5,R6615 Vast QSS,,1026317896,C13 - Bank 1,C13 - Bank 1,407-BBOS - use transceiver in U22,,,(1) CAT6 to U22,(1) 6ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1.5M
U4,R6615 Vast QSS,,1026317896,C13 - Bank 1,C13 - Bank 1,407-BBOS - use transceiver in U22,"(1) NDR200 2:1 to U26
(1) NDR200 2:1 to R2 U26","(1) 3M, (1) 7M",(1) CAT6 to U22,(1) 6ft,,,,,,,"(1) to U15, (1) to U16 passive HDR",(2) 1.5M
